ticker,entry_date,exit_date,shares,entry_px,exit_px,gain_eur,fee_eur,tax_eur,days_held,exit_reason,ret_net
VRT,2023-11-29,2024-01-19,22.0,42.13713836669922,52.33921924722736,205.84577937161907,12.4,0.0,34,strength,0.22057653220139428
HCC,2023-12-12,2024-01-19,18.0,54.457275390625,66.32855127767368,195.08296596687615,12.4,0.0,25,strength,0.19776646766439218
GIII,2023-10-20,2024-01-22,38.0,24.478195190429688,29.894690025237242,187.14413705602044,12.4,0.0,62,sma,0.19984336688034168
UPWK,2024-01-22,2024-02-01,134.0,15.0600004196167,13.829999923706055,-189.6700664520265,12.4,0.0,8,stop,-0.09341098020657788
HCC,2023-12-12,2024-02-06,18.0,54.457275390625,60.01154385408468,81.37683234227416,12.4,0.0,37,sma,0.08249622719382695
MBIN,2024-01-04,2024-02-06,49.0,39.30363845825195,38.7186169354489,-53.466054617349755,12.4,0.0,22,sma,-0.027584302546319474
AEO,2023-11-29,2024-02-23,53.0,17.587369918823242,21.180927556598416,171.91649872731762,12.4,0.0,58,strength,0.18322658831662764
BGC,2024-01-12,2024-03-01,304.0,6.582756042480469,6.807722886657538,43.41992062982854,12.57,0.0,33,sma,0.021563781200530607
GFF,2024-01-12,2024-03-01,17.0,57.48487091064453,69.72769140833317,189.52794846070674,12.4,0.0,33,strength,0.1927188316437144
DELL,2024-02-06,2024-03-04,12.0,79.59524536132812,119.32549462355202,458.4109911466867,12.4,0.0,18,strength,0.4769674357858816
AMD,2024-02-06,2024-03-04,6.0,167.8800048828125,205.16000366210938,205.05999267578113,12.4,0.0,18,strength,0.20232855130556177
ERIE,2024-02-01,2024-03-08,3.0,333.1199645996094,398.95864652731973,178.91604578313104,12.4,0.0,25,strength,0.1779267917172171
AMR,2024-03-01,2024-03-12,5.0,386.0199890136719,345.0,-229.89994506835956,12.4,0.0,7,stop,-0.11835261342067582
AMD,2024-02-06,2024-03-27,6.0,167.8800048828125,179.9600067138672,53.86001098632801,12.4,0.0,35,sma,0.05314258453815131
CRWD,2023-10-23,2024-04-05,20.0,44.77000045776367,77.43000030517578,634.599996948242,12.4,0.0,113,sma,0.7038597942593313
ANF,2023-10-05,2024-04-09,17.0,54.540000915527344,120.54000091552734,1103.0921212121211,12.52,0.0,127,sma,1.181587464485349
GFF,2024-01-12,2024-04-11,17.0,57.48487091064453,66.70541603519565,138.14926711736894,12.4,0.0,61,sma,0.1404751413579221
AEO,2023-11-29,2024-04-16,54.0,17.587369918823242,20.986747875367538,164.90846572815815,12.4,0.0,94,sma,0.17250274024393636
ERIE,2024-02-01,2024-04-16,3.0,333.1199645996094,364.1743652717482,74.5632020164162,12.4,0.0,51,sma,0.07415093071654792
LQDA,2024-03-27,2024-04-16,154.0,15.069999694824219,13.680000305175781,-239.92990600585927,12.67,0.0,13,stop,-0.10279861474266833
NTNX,2023-10-24,2024-04-18,25.0,36.560001373291016,60.65999984741211,583.7734312407823,12.4,0.0,121,sma,0.6343111820052415
MU,2024-04-16,2024-04-19,18.0,120.90321350097656,108.87942226001107,-241.66824233737907,12.4,0.0,3,stop,-0.11039627265095181
MLM,2024-04-09,2024-05-01,3.0,603.0399780273438,579.4370164818458,-95.60888463649394,12.4,0.0,16,egg,-0.052488519531177544
GPOR,2024-04-05,2024-05-02,14.0,160.0,150.75,-155.17999999999984,12.68,0.0,19,sma,-0.0688770528184642
USLM,2024-04-19,2024-05-13,18.0,59.0258903503418,73.38454826506548,239.79962624881,12.4,0.0,16,strength,0.22437974686747567
PGR,2024-04-16,2024-05-17,11.0,191.63580322265625,192.51878131200493,-15.64724101716456,12.69,0.0,23,sma,-0.00737846364690329
SLM,2024-05-01,2024-05-23,111.0,20.31382942199707,19.807175012818647,-82.17863941880523,12.9,0.0,16,egg,-0.03623596407781234
SCHW,2024-04-18,2024-05-24,31.0,70.58177947998047,70.53190277933872,-27.286177719894113,12.87,0.0,26,sma,-0.01239770716508226
CNM,2024-04-11,2024-05-30,40.0,57.18000030517578,57.16999816894531,-26.64008544921853,13.12,0.0,34,sma,-0.01158103451165424
WING,2024-03-12,2024-06-03,6.0,345.0126647949219,364.5830116474066,91.97208111490818,12.87,0.0,57,sma,0.04416095678348053
FCX,2024-05-03,2024-06-05,46.0,49.0447998046875,48.60732955258491,-46.15363159671915,12.99,0.0,22,sma,-0.020340053548728122
IESC,2024-05-23,2024-06-05,14.0,158.6699981689453,136.0,-342.7299743652343,12.4,0.0,8,stop,-0.15339272994473555
VRT,2023-11-29,2024-06-07,22.0,42.13713836669922,87.63043290276808,982.2524797935148,12.4,0.0,131,sma,1.0525445136668456
DELL,2024-02-06,2024-06-10,13.0,79.59524536132812,124.67006084967898,567.1246013485609,12.4,0.0,86,sma,0.5446908602518609
USLM,2024-04-19,2024-06-10,19.0,59.0258903503418,64.05300962139695,76.51148236626409,12.4,0.0,35,sma,0.06782357413152348
VCTR,2024-05-17,2024-06-11,49.0,48.48724365234375,45.77984317536285,-159.01262337206435,13.01,0.0,16,egg,-0.06655433999628284
APP,2024-05-24,2024-06-18,28.0,82.1500015258789,78.52999877929688,-127.41007690429706,12.9,0.0,16,egg,-0.05507600430163887
