date,AllPass (v5r),Rocket k=0.50
2008-12-08,90020.55825462613,90020.55825462613
2008-12-09,90020.55825462613,90020.55825462613
2008-12-10,90020.55825462613,90020.55825462613
2008-12-11,90020.55825462613,90020.55825462613
2008-12-12,90020.55825462613,90020.55825462613
2008-12-15,90020.55825462613,90020.55825462613
2008-12-16,90020.55825462613,90020.55825462613
2008-12-17,90020.55825462613,90020.55825462613
2008-12-18,90020.55825462613,90020.55825462613
2008-12-19,90020.55825462613,90020.55825462613
2008-12-22,90020.55825462613,90020.55825462613
2008-12-23,90020.55825462613,90020.55825462613
2008-12-24,90020.55825462613,90020.55825462613
2008-12-26,90020.55825462613,90020.55825462613
2008-12-29,90020.55825462613,90020.55825462613
2008-12-30,90020.55825462613,90020.55825462613
2008-12-31,90020.55825462613,90020.55825462613
2009-01-02,90020.55825462613,90020.55825462613
2009-01-05,90020.55825462613,90020.55825462613
2009-01-06,90020.55825462613,90020.55825462613
2009-01-07,90020.55825462613,90020.55825462613
2009-01-08,90020.55825462613,90020.55825462613
2009-01-09,90020.55825462613,90020.55825462613
2009-01-12,90020.55825462613,90020.55825462613
2009-01-13,90020.55825462613,90020.55825462613
2009-01-14,90020.55825462613,90020.55825462613
2009-01-15,90020.55825462613,90020.55825462613
2009-01-16,90020.55825462613,90020.55825462613
2009-01-20,90020.55825462613,90020.55825462613
2009-01-21,90020.55825462613,90020.55825462613
2009-01-22,90020.55825462613,90020.55825462613
2009-01-23,90020.55825462613,90020.55825462613
2009-01-26,90020.55825462613,90020.55825462613
2009-01-27,90020.55825462613,90020.55825462613
2009-01-28,90020.55825462613,90020.55825462613
2009-01-29,90020.55825462613,90020.55825462613
2009-01-30,90020.55825462613,90020.55825462613
2009-02-02,90020.55825462613,90020.55825462613
2009-02-03,90020.55825462613,90020.55825462613
2009-02-04,90020.55825462613,90020.55825462613
2009-02-05,90020.55825462613,90020.55825462613
2009-02-06,90020.55825462613,90020.55825462613
2009-02-09,90020.55825462613,90020.55825462613
2009-02-10,90020.55825462613,90020.55825462613
2009-02-11,90020.55825462613,90020.55825462613
2009-02-12,90020.55825462613,90020.55825462613
2009-02-13,90020.55825462613,90020.55825462613
2009-02-17,90020.55825462613,90020.55825462613
2009-02-18,90020.55825462613,90020.55825462613
2009-02-19,90020.55825462613,90020.55825462613
2009-02-20,90020.55825462613,90020.55825462613
2009-02-23,90020.55825462613,90020.55825462613
2009-02-24,90020.55825462613,90020.55825462613
2009-02-25,90020.55825462613,90020.55825462613
2009-02-26,90020.55825462613,90020.55825462613
2009-02-27,90020.55825462613,90020.55825462613
2009-03-02,90020.55825462613,90020.55825462613
2009-03-03,90020.55825462613,90020.55825462613
2009-03-04,90020.55825462613,90020.55825462613
2009-03-05,90020.55825462613,90020.55825462613
2009-03-06,90020.55825462613,90020.55825462613
2009-03-09,90020.55825462613,90020.55825462613
2009-03-10,90020.55825462613,90020.55825462613
2009-03-11,90020.55825462613,90020.55825462613
2009-03-12,90020.55825462613,90020.55825462613
2009-03-13,90020.55825462613,90020.55825462613
2009-03-16,90020.55825462613,90020.55825462613
2009-03-17,90020.55825462613,90020.55825462613
2009-03-18,90020.55825462613,90020.55825462613
2009-03-19,90020.55825462613,90020.55825462613
2009-03-20,90020.55825462613,90020.55825462613
2009-03-23,90020.55825462613,90020.55825462613
2009-03-24,90020.55825462613,90020.55825462613
2009-03-25,90020.55825462613,90020.55825462613
2009-03-26,90020.55825462613,90020.55825462613
2009-03-27,90020.55825462613,90020.55825462613
2009-03-30,90020.55825462613,90020.55825462613
2009-03-31,90020.55825462613,90020.55825462613
2009-04-01,90020.55825462613,90020.55825462613
2009-04-02,90020.55825462613,90020.55825462613
2009-04-03,90020.55825462613,90020.55825462613
2009-04-06,90020.55825462613,90020.55825462613
2009-04-07,90020.55825462613,90020.55825462613
2009-04-08,90020.55825462613,90020.55825462613
2009-04-09,90020.55825462613,90020.55825462613
2009-04-13,90020.55825462613,90020.55825462613
2009-04-14,90020.55825462613,90020.55825462613
2009-04-15,90020.55825462613,90020.55825462613
2009-04-16,90020.55825462613,90020.55825462613
2009-04-17,90020.55825462613,90020.55825462613
2009-04-20,90020.55825462613,90020.55825462613
2009-04-21,90020.55825462613,90020.55825462613
2009-04-22,90020.55825462613,90020.55825462613
