ticker,entry_date,exit_date,entry_px,exit_px,days_held,ret_net,weight,bet_eur,bet_frac,div_eur,exit_reason
BAH,2019-08-06,2019-09-11,68.8499984741211,68.95999908447266,25,0.0015976850078349702,1.0,27195.749397277832,0.1,90.85000000000001,sma
ROKU,2019-09-11,2019-09-19,149.75999450683594,127.80999755859375,6,-0.14656782687876135,1.0,28005.11897277832,0.1,0.0,stop
ARES,2019-09-19,2019-10-01,29.40999984741211,26.920000076293945,8,-0.08466507256161271,1.0,28233.599853515625,0.1,0.0,stop
PPC,2019-09-10,2019-10-02,30.940000534057617,30.799999237060547,16,-0.004524928719473076,1.0,28433.86049079895,0.1,0.0,egg
LDOS,2019-08-02,2019-10-03,81.86000061035156,83.0199966430664,43,0.014170486489932355,1.0,28487.280212402344,0.1,118.32000000000001,sma
CMCSA,2019-09-04,2019-10-03,42.66166687011719,41.30271911621094,21,-0.03185407072919921,1.0,28625.978469848633,0.1,132.061523,sma
MEDP,2019-09-10,2019-10-04,80.48999786376953,78.66999816894531,18,-0.02261150134336687,1.0,28412.969245910645,0.1,0.0,sma
WRB,2019-06-26,2019-10-09,28.915555953979492,31.573333740234375,73,0.09191515426799568,1.0,25879.422578811646,0.1,43.755655000000004,sma
GNRC,2019-08-06,2019-10-21,72.08000183105469,88.05000305175781,53,0.2215593897754684,0.4986737400530504,27174.160690307617,0.1,0.0,strength
RNR,2019-08-15,2019-10-23,187.83999633789062,186.2100067138672,48,-0.00867754288650735,1.0,27988.159454345703,0.1,50.660000000000004,sma
FE,2019-10-04,2019-10-28,48.22999954223633,47.86000061035156,16,-0.007671551635839213,1.0,27057.02974319458,0.1,0.0,egg
VMC,2019-08-06,2019-10-29,138.1199951171875,147.6300048828125,59,0.06885324429353079,1.0,27209.639038085938,0.1,61.07,sma
LGIH,2019-10-03,2019-10-29,82.19999694824219,80.4800033569336,18,-0.020924497021473143,1.0,27125.998992919922,0.1,0.0,sma
KNSL,2019-10-03,2019-11-04,101.61000061035156,95.01000213623047,22,-0.0649542213805352,1.0,27129.870162963867,0.1,0.0,sma
BLDR,2019-10-02,2019-11-05,20.270000457763672,24.639999389648438,24,0.21558948363077124,0.5,27486.12062072754,0.1,0.0,strength
CTAS,2019-10-23,2019-11-14,67.03250122070312,63.48249816894531,16,-0.05295942993488334,1.0,28153.650512695312,0.1,267.75,egg
DG,2019-10-28,2019-11-19,162.63999938964844,159.1300048828125,16,-0.02158137309399999,1.0,28136.71989440918,0.1,0.0,egg
TTEK,2019-10-01,2019-11-22,16.72599983215332,16.923999786376953,38,0.011837854610222243,1.0,27865.51572036743,0.1,0.0,sma
KLAC,2019-11-19,2019-11-22,17.599000930786133,16.047000885009766,3,-0.0881868267340924,1.0,28686.371517181396,0.1,0.0,stop
ELS,2019-11-04,2019-12-17,69.06999969482422,69.79000091552734,30,0.01042422504537921,1.0,28111.489875793457,0.1,0.0,sma
XPO,2019-11-22,2019-12-17,28.809633255004883,28.543325424194336,16,-0.009243707771402598,1.0,28463.917655944824,0.1,0.0,egg
