ticker,entry_date,exit_date,entry_px,exit_px,days_held,ret_net,weight,bet_eur,bet_frac,div_eur,exit_reason
RUSHA,2020-10-27,2021-01-08,24.420000076293945,29.68000030517578,50,0.2105453389708476,0.49934980494148246,18816.538018787385,0.1,35.839872,strength
LSCC,2020-10-29,2021-01-26,34.7599983215332,41.59000015258789,59,0.19171387250055072,0.5,18529.303745269775,0.1,0.0,sma
PINS,2020-09-09,2021-01-28,35.5099983215332,67.31999969482422,97,0.8882359997300437,0.5010752688172043,16545.173517951964,0.1,0.0,sma
FCX,2020-10-29,2021-01-28,17.479999542236328,26.329999923706055,61,0.5002797957863321,0.5004721435316336,18548.342154258728,0.1,0.0,sma
CAT,2020-11-03,2021-01-28,167.69000244140625,182.25999450683594,58,0.08254760006850104,1.0,18650.817451538085,0.1,114.33,sma
VC,2020-12-18,2021-01-28,125.5999984741211,126.5199966430664,26,0.0033035694833412066,1.0,21017.15014466858,0.1,0.0,sma
RUSHA,2020-10-27,2021-02-12,24.420000076293945,27.706666946411133,74,0.13005984452590114,0.5006501950585176,18816.538018787385,0.1,35.933205,sma
TFIN,2021-01-28,2021-02-22,58.09000015258789,73.69999694824219,16,0.26365614031261697,0.5,22118.348458099365,0.1,0.0,strength
DAR,2020-12-08,2021-02-26,50.70000076293945,62.40999984741211,54,0.2260524101785133,0.5,20726.971511901855,0.1,0.0,sma
ROKU,2021-01-28,2021-02-26,404.010009765625,391.3999938964844,20,-0.035079553852879086,1.0,21860.173608398436,0.1,0.0,breakeven
ROCK,2020-12-10,2021-03-01,68.8499984741211,88.37999725341797,53,0.2785357275819256,0.5,20558.334144378663,0.1,0.0,sma
UPWK,2021-02-26,2021-03-04,53.880001068115234,45.189998626708984,4,-0.16463254383211445,1.0,23538.66382662964,0.1,0.0,stop
PI,2021-03-01,2021-03-04,66.0,58.849998474121094,3,-0.1118929039319414,1.0,23542.992,0.1,0.0,stop
FIVE,2020-10-27,2021-03-05,135.25,188.1999969482422,88,0.3859423257318686,0.5035971223021583,18837.3495,0.1,0.0,sma
GIII,2021-01-26,2021-03-09,26.229999542236328,32.130001068115234,29,0.2200433911280577,0.5,23128.564396362304,0.1,0.0,strength
MTZ,2021-01-28,2021-03-11,79.05999755859375,96.54000091552734,29,0.21622330710360282,0.4982078853046595,22101.85479748535,0.1,0.0,strength
RNST,2021-01-28,2021-03-11,36.779998779296875,44.25,29,0.19829675791674184,0.5,22112.13526611328,0.1,0.0,strength
CROX,2020-11-11,2021-03-24,55.40999984741211,77.41999816894531,90,0.39164296178226454,0.5,19432.286946487427,0.1,0.0,sma
CHEF,2021-02-12,2021-03-24,30.309999465942383,29.540000915527344,27,-0.02929471202281464,1.0,24053.53061618042,0.1,0.0,sma
AZZ,2021-02-26,2021-03-24,51.09000015258789,49.689998626708984,18,-0.031285276748405644,1.0,23548.40287033081,0.1,0.0,sma
MTZ,2021-01-28,2021-03-25,79.05999755859375,85.20999908447266,39,0.07348649163047516,0.5017921146953405,22101.85479748535,0.1,0.0,sma
GIII,2021-01-26,2021-03-30,26.229999542236328,29.049999237060547,44,0.10308927492139364,0.5,23128.564396362304,0.1,0.0,sma
RNST,2021-01-28,2021-04-21,36.779998779296875,39.619998931884766,57,0.07291562189248135,0.5,22112.13526611328,0.1,66.0,sma
CASH,2021-03-05,2021-04-21,45.20000076293945,43.63999938964844,32,-0.038367542443112246,1.0,23188.68519140625,0.1,25.6,sma
